run_dir,gs,lambda_2,action_cost_base,gumbel_tau_mask,l2_l3_target_ratio,model,cat_proximity,cont_proximity,sensitivity,time,pred_accuracy,proximity,sparsity,manifold_dist,validity_recourse,actionability_rate,monotonicity_violation_rate,immutability_violation_rate,avg_num_actionability_violations,avg_num_actionability_changes,valid_change_rate,metrics_path
cfgen_flip_neg_stay_pos__gs036__lambda_2-0p005_action_cost_base-0p005_gumbel_tau_mask-1,gs036,0.005,0.005,1.0,,DiscreteRecourseNetModel,0.0,0.580534815788269,1.0,0.0027454430468907,0.7026768922805786,0.0165867090225219,0.919205866754055,0.5873342752456665,1.0,1.0,0.0,0.0,0.0,5.718277931213379,0.7927618622779846,assets\results\cfgen_flip_neg_stay_pos__gs036__lambda_2-0p005_action_cost_base-0p005_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs037__lambda_2-0p005_action_cost_base-0p005_gumbel_tau_mask-1p5,gs037,0.005,0.005,1.5,,DiscreteRecourseNetModel,0.0069204154424369,0.5949714183807373,1.0,0.0027280387185499,0.7017208337783813,0.0171969095378049,0.913593664765358,0.6019259095191956,1.0,1.0,0.0,0.0,0.0,5.29238748550415,0.8138280510902405,assets\results\cfgen_flip_neg_stay_pos__gs037__lambda_2-0p005_action_cost_base-0p005_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs042__lambda_2-0p005_action_cost_base-0p01_gumbel_tau_mask-1,gs042,0.005,0.01,1.0,,DiscreteRecourseNetModel,0.0,0.5787898302078247,1.0,0.0027181062826007,0.7026768922805786,0.0165368522916521,0.919162705540657,0.5873240232467651,1.0,1.0,0.0,0.0,0.0,5.653323173522949,0.7922511696815491,assets\results\cfgen_flip_neg_stay_pos__gs042__lambda_2-0p005_action_cost_base-0p01_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs043__lambda_2-0p005_action_cost_base-0p01_gumbel_tau_mask-1p5,gs043,0.005,0.01,1.5,,DiscreteRecourseNetModel,0.0051903114654123,0.5948936939239502,1.0,0.0027413761410612,0.7017208337783813,0.0171452572968389,0.913618378341198,0.6018545031547546,1.0,1.0,0.0,0.0,0.0,5.2214531898498535,0.8156063556671143,assets\results\cfgen_flip_neg_stay_pos__gs043__lambda_2-0p005_action_cost_base-0p01_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs048__lambda_2-0p005_action_cost_base-0p02_gumbel_tau_mask-1,gs048,0.005,0.02,1.0,,DiscreteRecourseNetModel,0.0,0.5776159763336182,1.0,0.0027163077722771,0.7026768922805786,0.0165033136095319,0.919961154460907,0.5873370170593262,1.0,1.0,0.0,0.0,0.0,5.660876274108887,0.7954636216163635,assets\results\cfgen_flip_neg_stay_pos__gs048__lambda_2-0p005_action_cost_base-0p02_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs000__lambda_2-0p005_action_cost_base-0p02_gumbel_tau_mask-1p5,gs000,0.005,0.02,1.5,,DiscreteRecourseNetModel,0.0051903114654123,0.5941830277442932,1.0,0.0039418934636088,0.7017208337783813,0.0171249525488487,0.9139891192317008,0.6015466451644897,1.0,1.0,0.0,0.0,0.0,5.282872200012207,0.8144751787185669,assets\results\cfgen_flip_neg_stay_pos__gs000__lambda_2-0p005_action_cost_base-0p02_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs000__lambda_2-0p01_action_cost_base-0p005_gumbel_tau_mask-1,gs000,0.01,0.005,1.0,,DiscreteRecourseNetModel,0.0,0.5090958476066589,0.9985659718513488,0.0033423859576194,0.7017208337783813,0.0145455956459045,0.9386307410895824,0.5548477172851562,0.9974048733711244,1.0,0.0,0.0,0.0,3.826124668121338,0.8326927423477173,assets\results\cfgen_flip_neg_stay_pos__gs000__lambda_2-0p01_action_cost_base-0p005_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs001__lambda_2-0p01_action_cost_base-0p005_gumbel_tau_mask-1p5,gs001,0.01,0.005,1.5,,DiscreteRecourseNetModel,0.0,0.5031448602676392,0.9985659718513488,0.0069828120062045,0.7017208337783813,0.0143755674362182,0.9434997513890266,0.5498321056365967,0.9974048733711244,1.0,0.0,0.0,0.0,3.487024307250977,0.8801786303520203,assets\results\cfgen_flip_neg_stay_pos__gs001__lambda_2-0p01_action_cost_base-0p005_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs002__lambda_2-0p01_action_cost_base-0p01_gumbel_tau_mask-1,gs002,0.01,0.01,1.0,,DiscreteRecourseNetModel,0.0,0.5066220760345459,0.9985659718513488,0.0071208308349375,0.7017208337783813,0.0144749164581298,0.9394710771739484,0.5533328056335449,0.9974048733711244,1.0,0.0,0.0,0.0,3.767301082611084,0.8316876888275146,assets\results\cfgen_flip_neg_stay_pos__gs002__lambda_2-0p01_action_cost_base-0p01_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs003__lambda_2-0p01_action_cost_base-0p01_gumbel_tau_mask-1p5,gs003,0.01,0.01,1.5,,DiscreteRecourseNetModel,0.0017301038606092,0.5084992051124573,0.9990440011024476,0.0071338796934707,0.7017208337783813,0.0145779802563733,0.9386801794171332,0.555315375328064,0.9982699155807496,1.0,0.0,0.0,0.0,3.477508544921875,0.880348265171051,assets\results\cfgen_flip_neg_stay_pos__gs003__lambda_2-0p01_action_cost_base-0p01_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs004__lambda_2-0p01_action_cost_base-0p02_gumbel_tau_mask-1,gs004,0.01,0.02,1.0,,DiscreteRecourseNetModel,0.0,0.50484299659729,0.9990440011024476,0.0075448949751844,0.7017208337783813,0.0144240856170654,0.943129014223814,0.550165593624115,0.9982699155807496,1.0,0.0,0.0,0.0,3.8304498195648193,0.8351399898529053,assets\results\cfgen_flip_neg_stay_pos__gs004__lambda_2-0p01_action_cost_base-0p02_gumbel_tau_mask-1\home\seed-31\metrics.csv
cfgen_flip_neg_stay_pos__gs005__lambda_2-0p01_action_cost_base-0p02_gumbel_tau_mask-1p5,gs005,0.01,0.02,1.5,,DiscreteRecourseNetModel,0.0017301038606092,0.509533703327179,0.9985659718513488,0.0067366826602651,0.7017208337783813,0.0146075373482225,0.9375926740467548,0.5563860535621643,0.9974048733711244,1.0,0.0,0.0,0.0,3.4437716007232666,0.883195161819458,assets\results\cfgen_flip_neg_stay_pos__gs005__lambda_2-0p01_action_cost_base-0p02_gumbel_tau_mask-1p5\home\seed-31\metrics.csv
